diagram_id,similarity_score,ged_value,max_possible_ged,normalized_ged,semantic_score,structural_score,relationship_score,details,num_edit_operations,edit_operations_summary,variation_type,expected_score_range,modifications,human_score,nodes_key,nodes_student,nodes_matched,nodes_missing,nodes_extra,edges_key,edges_student,edges_wrong_type,system_category,human_category,error,abs_error
student_001,89.85730426994462,2.4832628563046457,22.0,0.11287558437748389,60.154034037675174,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.15687046945095, 'total_attr_cost': 7.81572457353274, 'total_method_cost': 11.248419056336086}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",perfect_translation,"[95, 100]",['Translated all elements to Indonesian'],85.99436889360393,7,7,7,0,0,8,8,0,Good,Good,3.862935376340687,3.862935376340687
student_002,89.85730426994462,2.4832628563046457,22.0,0.11287558437748389,60.154034037675174,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.15687046945095, 'total_attr_cost': 7.81572457353274, 'total_method_cost': 11.248419056336086}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",perfect_translation,"[95, 100]",['Translated all elements to Indonesian'],91.20779467095527,7,7,7,0,0,8,8,0,Good,Excellent,1.3504904010106458,1.3504904010106458
student_003,89.85730426994462,2.4832628563046457,22.0,0.11287558437748389,60.154034037675174,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.15687046945095, 'total_attr_cost': 7.81572457353274, 'total_method_cost': 11.248419056336086}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",perfect_translation,"[95, 100]",['Translated all elements to Indonesian'],94.4297951063649,7,7,7,0,0,8,8,0,Good,Excellent,4.572490836420286,4.572490836420286
student_004,89.85730426994462,2.4832628563046457,22.0,0.11287558437748389,60.154034037675174,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.15687046945095, 'total_attr_cost': 7.81572457353274, 'total_method_cost': 11.248419056336086}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",perfect_translation,"[95, 100]",['Translated all elements to Indonesian'],85.39688515023826,7,7,7,0,0,8,8,0,Good,Good,4.4604191197063585,4.4604191197063585
student_005,89.85730426994462,2.4832628563046457,22.0,0.11287558437748389,60.154034037675174,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.15687046945095, 'total_attr_cost': 7.81572457353274, 'total_method_cost': 11.248419056336086}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",perfect_translation,"[95, 100]",['Translated all elements to Indonesian'],89.24252235198107,7,7,7,0,0,8,8,0,Good,Good,0.6147819179635547,0.6147819179635547
student_006,89.85665620367027,2.483439435064793,22.0,0.11288361068476331,60.01654379069805,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.195367738604546, 'total_attr_cost': 7.81572457353274, 'total_method_cost': 11.248419056336086}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",minor_semantic,"[85, 95]",['Changed Pembayaran to Transaksi (synonym)'],87.43510788309429,7,7,7,0,0,8,8,0,Good,Good,2.4215483205759796,2.4215483205759796
student_007,89.85730426994462,2.4832628563046457,22.0,0.11287558437748389,60.154034037675174,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.15687046945095, 'total_attr_cost': 7.81572457353274, 'total_method_cost': 11.248419056336086}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",minor_semantic,"[85, 95]",[],86.9242304831964,7,7,7,0,0,8,8,0,Good,Good,2.933073786748224,2.933073786748224
student_008,89.85730426994462,2.4832628563046457,22.0,0.11287558437748389,60.154034037675174,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.15687046945095, 'total_attr_cost': 7.81572457353274, 'total_method_cost': 11.248419056336086}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",minor_semantic,"[85, 95]",[],85.58941034327736,7,7,7,0,0,8,8,0,Good,Good,4.267893926667256,4.267893926667256
student_009,89.85730426994462,2.4832628563046457,22.0,0.11287558437748389,60.154034037675174,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.15687046945095, 'total_attr_cost': 7.81572457353274, 'total_method_cost': 11.248419056336086}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",minor_semantic,"[85, 95]",[],87.85397365939754,7,7,7,0,0,8,8,0,Good,Good,2.0033306105470814,2.0033306105470814
student_010,89.60012121493006,2.5535382114350798,22.0,0.11606991870159454,58.604055589863236,100.0,100.0,"{'nodes_key': 7, 'nodes_student': 7, 'nodes_matched': 7, 'nodes_missing': 0, 'nodes_extra': 0, 'edges_key': 8, 'edges_student': 8, 'edges_wrong_type': 0, 'edges_missing': 0, 'edges_extra': 0, 'total_name_cost': 11.590864434838295, 'total_attr_cost': 7.738850913445154, 'total_method_cost': 11.297819763422012}",28,"{'node_substitutions': 28, 'edge_wrong_types': 0, 'total_operations': 28}",minor_semantic,"[85, 95]",['Changed Produk to Item (synonym)'],81.25054956424103,7,7,7,0,0,8,8,0,Good,Good,8.349571650689029,8.349571650689029
